variant_id,archetype,side,timeframe_minutes,pd_lookback,bb_length,lb_lookback,mult,ph,full_history_total_return_pct,full_history_max_drawdown_pct,last_1y_total_return_pct,last_90d_total_return_pct,ytd_2026_total_return_pct,full_history_trade_count,positive_window_count,stability_score
long_stable_60m_pd44_bbl20_lb20_mult1.5_ph0.9,long_stable_60m,long,60,44,20,20,1.5,0.9,13.661284290529574,25.813496780100152,12.304731244688982,9.67891663599656,10.664683883383308,395,4,584
long_stable_60m_pd44_bbl20_lb20_mult2_ph0.9,long_stable_60m,long,60,44,20,20,2.0,0.9,11.36086152685074,27.40439216103233,12.827910347963378,9.678916635996671,10.664683883383375,389,4,685
long_stable_60m_pd34_bbl20_lb100_mult2.5_ph0.8,long_stable_60m,long,60,34,20,100,2.5,0.8,9.24696558952396,26.252146372735506,22.77541370862688,8.856336082768301,8.817606108922815,263,4,710
long_stable_60m_pd11_bbl30_lb100_mult2.5_ph0.9,long_stable_60m,long,60,11,30,100,2.5,0.9,27.62405678859279,18.589824425876667,12.279849116197838,6.493068508861932,6.39042279543407,179,4,719
long_stable_60m_pd34_bbl20_lb100_mult2_ph0.8,long_stable_60m,long,60,34,20,100,2.0,0.8,8.926931345610178,27.357918065234433,20.888610791149254,9.351442830363998,8.81760610892286,320,4,733
long_stable_60m_pd11_bbl30_lb100_mult2.5_ph0.8,long_stable_60m,long,60,11,30,100,2.5,0.8,17.205057804942967,23.721730774973416,13.82563012734277,6.709717660145542,6.606863124612938,201,4,795
long_stable_60m_pd34_bbl20_lb100_mult1.5_ph0.8,long_stable_60m,long,60,34,20,100,1.5,0.8,6.610682015904623,29.140690302699866,22.166916636009603,9.709961980436033,9.805589595598585,375,4,818
long_stable_60m_pd44_bbl30_lb100_mult1.5_ph0.8,long_stable_60m,long,60,44,30,100,1.5,0.8,11.75767900213267,27.98370336678,32.13004322959878,6.7345096639744195,6.7000913591907185,302,4,828
long_stable_60m_pd44_bbl20_lb50_mult2_ph0.95,long_stable_60m,long,60,44,20,50,2.0,0.95,10.40141694979031,22.444497006872822,14.349435629005614,9.640364018028746,7.151480130281018,311,4,862
long_stable_60m_pd11_bbl30_lb100_mult1.5_ph0.95,long_stable_60m,long,60,11,30,100,1.5,0.95,12.216439623829988,24.78335152237685,14.439631974618772,7.413070541679723,7.132734280096464,287,4,870
long_stable_60m_pd34_bbl20_lb50_mult1.5_ph0.8,long_stable_60m,long,60,34,20,50,1.5,0.8,4.760582705532901,30.90132558833264,25.873060417139637,9.551582275327576,9.601372377898576,382,4,933
long_stable_60m_pd44_bbl20_lb20_mult2.5_ph0.9,long_stable_60m,long,60,44,20,20,2.5,0.9,7.151036995932913,29.180733295288842,12.366892859475676,9.67891663599676,10.664683883383418,387,4,948
long_stable_60m_pd44_bbl20_lb20_mult3_ph0.9,long_stable_60m,long,60,44,20,20,3.0,0.9,7.151036995932913,29.180733295288842,12.366892859475676,9.67891663599676,10.664683883383418,387,4,948
long_stable_60m_pd11_bbl30_lb100_mult2.5_ph0.85,long_stable_60m,long,60,11,30,100,2.5,0.85,20.63525772934449,22.318027569205555,12.082049582610388,6.029165645323964,5.926967074992406,191,4,963
long_stable_60m_pd11_bbl30_lb100_mult3_ph0.9,long_stable_60m,long,60,11,30,100,3.0,0.9,25.83759497565572,14.37963225179326,12.203209244943025,5.229001802404198,5.163941025995378,144,4,968
