variant_id,side,timeframe_minutes,mult,ph,trigger_mode,confirm_mode,trend_window,hold_bars,full_history_total_return_pct,full_history_max_drawdown_pct,full_history_daily_sharpe,full_history_trade_count,last_1y_total_return_pct,last_90d_total_return_pct,ytd_2026_total_return_pct,stability_score,positive_window_count
long_30m_mult2.5_ph0.9_either_green_bar_ema0_hold8,long,30,2.5,0.9,either,green_bar,0,8,24.524386674070264,2.9742433443798455,1.1113870506964056,126,4.428917514761688,0.9239970666043318,1.3495897305165094,208,4
long_30m_mult3_ph0.9_either_green_bar_ema0_hold8,long,30,3.0,0.9,either,green_bar,0,8,24.472985720538265,3.541364602009811,1.1660469109985958,113,2.8474097220100303,0.9239970666042208,1.3495897305164206,278,4
long_30m_mult2_ph0.9_either_green_bar_ema0_hold8,long,30,2.0,0.9,either,green_bar,0,8,23.3061031113589,4.389660574740317,1.0305083776195938,162,6.551323153820299,1.397237733299117,1.7908409361336863,145,4
long_30m_mult3_ph0.9_either_green_bar_ema0_hold4,long,30,3.0,0.9,either,green_bar,0,4,20.443559002004406,1.9800727237777815,1.0761521649000194,115,1.8056654117132975,0.42574472458178914,0.7003451744544531,468,4
long_60m_mult2_ph0.9_band_green_bar_ema0_hold8,long,60,2.0,0.9,band,green_bar,0,8,18.055997053346683,6.045682249779194,0.7233017177287826,81,11.577385541309315,0.9076924638353079,0.639266540854666,219,4
long_60m_mult2_ph0.85_band_green_bar_ema0_hold8,long,60,2.0,0.85,band,green_bar,0,8,18.055997053346683,6.045682249779194,0.7233017177287826,81,11.577385541309315,0.9076924638353079,0.639266540854666,219,4
long_60m_mult2.5_ph0.85_either_none_ema50_hold8,long,60,2.5,0.85,either,none,50,8,17.90301910199339,4.769958323528223,0.7026172999369772,116,8.446762389067652,1.3791769080541805,0.6418535981864482,189,4
long_60m_mult2.5_ph0.85_percentile_none_ema50_hold8,long,60,2.5,0.85,percentile,none,50,8,17.77940160321998,3.0780097721306965,0.8795633545852938,65,2.783815477167284,0.6409508250573293,0.0,599,3
long_60m_mult2_ph0.85_percentile_none_ema50_hold8,long,60,2.0,0.85,percentile,none,50,8,17.77940160321998,3.0780097721306965,0.8795633545852938,65,2.783815477167284,0.6409508250573293,0.0,599,3
long_60m_mult3_ph0.85_percentile_none_ema50_hold8,long,60,3.0,0.85,percentile,none,50,8,17.77940160321998,3.0780097721306965,0.8795633545852938,65,2.783815477167284,0.6409508250573293,0.0,599,3
long_60m_mult2.5_ph0.9_band_green_bar_ema0_hold8,long,60,2.5,0.9,band,green_bar,0,8,17.719856396049472,4.394195845450167,0.9972882132876728,47,9.161001931449931,0.09108631237324527,0.0,639,3
long_60m_mult2.5_ph0.85_band_green_bar_ema0_hold8,long,60,2.5,0.85,band,green_bar,0,8,17.719856396049472,4.394195845450167,0.9972882132876728,47,9.161001931449931,0.09108631237324527,0.0,639,3
long_30m_mult2_ph0.9_either_green_bar_ema0_hold4,long,30,2.0,0.9,either,green_bar,0,4,17.24618523608592,2.888477413348489,0.8667267116282229,164,4.474338564627978,1.1824129156835728,1.467463603163477,208,4
long_30m_mult2.5_ph0.9_either_green_bar_ema0_hold4,long,30,2.5,0.9,either,green_bar,0,4,17.20682826004827,2.3976524121901654,0.8769064189173557,128,2.2114162813416494,0.4257447245817003,0.7003451744544087,461,4
long_30m_mult3_ph0.9_percentile_green_bar_ema0_hold8,long,30,3.0,0.9,percentile,green_bar,0,8,17.01037615681329,2.932918494882597,1.0276619419988489,96,4.578506355606571,0.9239970666042874,1.3495897305164872,220,4
