variant_id,side,timeframe_minutes,mult,ph,trigger_mode,confirm_mode,trend_window,hold_bars,full_history_total_return_pct,full_history_max_drawdown_pct,full_history_daily_sharpe,full_history_trade_count,last_1y_total_return_pct,last_90d_total_return_pct,ytd_2026_total_return_pct,stability_score,positive_window_count
short_15m_mult2_ph0.9_band_red_bar_ema50_hold8,short,15,2.0,0.9,band,red_bar,50,8,41.41183730046541,12.085934221951389,1.0668465663634987,395,-2.3144711857398748,3.4698485247577793,2.7384856150292736,359,3
short_15m_mult2_ph0.85_band_red_bar_ema50_hold8,short,15,2.0,0.85,band,red_bar,50,8,41.41183730046541,12.085934221951389,1.0668465663634987,395,-2.3144711857398748,3.4698485247577793,2.7384856150292736,359,3
short_15m_mult2.5_ph0.9_percentile_red_bar_ema0_hold8,short,15,2.5,0.9,percentile,red_bar,0,8,32.81586077525436,17.125572822980295,0.737751320991238,615,-12.829342832883428,0.3841273188285532,0.2075457678900383,1365,3
short_15m_mult3_ph0.9_percentile_red_bar_ema0_hold8,short,15,3.0,0.9,percentile,red_bar,0,8,32.81586077525436,17.125572822980295,0.737751320991238,615,-12.829342832883428,0.3841273188285532,0.2075457678900383,1365,3
short_15m_mult2_ph0.9_percentile_red_bar_ema0_hold8,short,15,2.0,0.9,percentile,red_bar,0,8,32.81586077525436,17.125572822980295,0.737751320991238,615,-12.829342832883428,0.3841273188285532,0.2075457678900383,1365,3
short_15m_mult2_ph0.85_band_red_bar_ema0_hold8,short,15,2.0,0.85,band,red_bar,0,8,32.70485785165529,12.771415361837157,0.7326460294984437,699,-1.9288672627916337,3.628475176557444,3.7349947049115206,263,3
short_15m_mult2_ph0.9_band_red_bar_ema0_hold8,short,15,2.0,0.9,band,red_bar,0,8,32.70485785165529,12.771415361837157,0.7326460294984437,699,-1.9288672627916337,3.628475176557444,3.7349947049115206,263,3
short_15m_mult2.5_ph0.9_band_red_bar_ema50_hold8,short,15,2.5,0.9,band,red_bar,50,8,32.44968640234933,9.85164561011419,1.028090045738891,281,-2.476338096132824,1.1963004491674312,0.9107977694924774,620,3
short_15m_mult2.5_ph0.85_band_red_bar_ema50_hold8,short,15,2.5,0.85,band,red_bar,50,8,32.44968640234933,9.85164561011419,1.028090045738891,281,-2.476338096132824,1.1963004491674312,0.9107977694924774,620,3
short_15m_mult2_ph0.85_band_red_bar_ema20_hold8,short,15,2.0,0.85,band,red_bar,20,8,30.77904073267568,12.743670933523033,0.7461873405540473,568,-1.3360772959940759,3.4505850786237247,3.0644467828282007,284,3
short_15m_mult2_ph0.9_band_red_bar_ema20_hold8,short,15,2.0,0.9,band,red_bar,20,8,30.77904073267568,12.743670933523033,0.7461873405540473,568,-1.3360772959940759,3.4505850786237247,3.0644467828282007,284,3
short_15m_mult2_ph0.9_band_close_down_ema50_hold8,short,15,2.0,0.9,band,close_down,50,8,29.824818734759397,13.457662333879405,0.7653599305912502,450,-4.192176506330691,3.2869859969434367,2.4304165316245685,539,3
short_15m_mult2_ph0.85_band_close_down_ema50_hold8,short,15,2.0,0.85,band,close_down,50,8,29.824818734759397,13.457662333879405,0.7653599305912502,450,-4.192176506330691,3.2869859969434367,2.4304165316245685,539,3
short_30m_mult2.5_ph0.9_either_red_bar_ema20_hold4,short,30,2.5,0.9,either,red_bar,20,4,28.000395231700548,9.80768458744058,0.7555667532983589,402,-5.959248940952699,-0.9831724152900012,-0.9327195119533283,1352,1
short_30m_mult2_ph0.9_either_red_bar_ema20_hold4,short,30,2.0,0.9,either,red_bar,20,4,27.593644822321494,9.134758475844318,0.7049877332302482,433,-4.0949842681524355,-0.6049785723193368,-0.5543329645921635,1172,1
