ticker,enabled_for_backtest,default_timeframe_sweep,alpaca_supported_bar_timeframes,notes
SPY,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
NVDA,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
HYG,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
SLV,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
IWM,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
QQQ,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
TLT,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
TSLA,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
EEM,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
IBIT,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
NFLX,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
XLF,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
GLD,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
INTC,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
XLE,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
AMZN,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
EWZ,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
SOFI,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
AAPL,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
FXI,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
MSFT,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
NIO,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
PLTR,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
KWEB,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
AMD,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
GOOGL,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
META,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
AAL,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
ASST,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",Verify symbol availability and optionability in Alpaca before long backfills.
BAC,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
MU,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
PFE,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
MSTR,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
RIVN,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
SMCI,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
ORCL,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
KRE,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
BABA,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
PYPL,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
SNAP,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
GDX,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
GME,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
CRWV,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",Verify symbol availability and optionability in Alpaca before long backfills.
MARA,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
GRAB,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
WULF,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
AVGO,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
PBR,yes,1Min|3Min|5Min|10Min|15Min|30Min|60Min|120Min|240Min|1Day,"[1-59]Min, [1-23]Hour, 1Day",
