rank,symbol,total_open_interest,contracts_with_recent_oi,active_contracts_seen
1,SPY,14906130,8856,13392
2,NVDA,14318331,3277,4314
3,HYG,9407572,615,1278
4,SLV,8913750,4774,5948
5,IWM,8886625,3177,4882
6,QQQ,8281929,6904,10312
7,TLT,7208459,1657,2282
8,TSLA,6051512,4511,5726
9,EEM,6043447,1110,2030
10,IBIT,5707338,2392,3190
11,NFLX,5531168,3398,4640
12,XLF,5469491,1099,1652
13,GLD,5218350,6308,8858
14,INTC,4754475,1106,1196
15,XLE,4740756,1429,1828
16,AMZN,4673491,1911,2460
17,EWZ,4571791,977,1698
18,SOFI,4179333,1009,1290
19,AAPL,4061221,2287,3218
20,FXI,3931916,761,1438
21,MSFT,3505110,2718,3680
22,NIO,3178725,326,424
23,PLTR,3141854,1964,2486
24,KWEB,2936870,692,1152
25,AMD,2822772,2261,2810
26,GOOGL,2766246,3217,4572
27,META,2628477,4873,7792
28,AAL,2578875,611,826
29,ASST,2473799,592,974
30,BAC,2421184,761,986
31,MU,2370183,3974,5060
32,PFE,2329485,496,708
33,MSTR,2186660,3025,4122
34,RIVN,2098444,690,918
35,SMCI,2091501,1419,1782
36,ORCL,2058799,1744,2234
37,KRE,2031996,1153,1674
38,BABA,1936947,2028,2846
39,PYPL,1926466,917,1152
40,SNAP,1917060,304,408
41,GDX,1878293,2455,3382
42,GME,1849330,1111,1356
43,CRWV,1743492,1770,2043
44,MARA,1740252,605,768
45,GRAB,1740145,236,356
46,WULF,1728983,718,1022
47,AVGO,1722217,2393,3044
48,PBR,1713871,580,890
49,WBD,1710893,533,1002
50,XLU,1686274,730,1082
51,VALE,1673759,348,604
52,HOOD,1616853,1475,1898
53,GOOG,1575899,2058,2658
54,USO,1574440,3033,4690
55,TSM,1554316,1865,2264
56,LQD,1554297,561,1490
57,IREN,1528923,1058,1318
58,F,1523012,456,608
59,CORZ,1455246,467,722
60,NVO,1439577,550,750
61,NKE,1434148,927,1286
62,OWL,1395977,374,620
63,EOSE,1360616,492,674
64,EFA,1359290,811,1820
65,ETHA,1356423,1027,1296
66,BMNR,1349660,699,856
67,ONDS,1345752,451,570
68,OPEN,1309621,433,534
69,C,1308055,1206,1566
70,TQQQ,1277306,1112,1340
71,XOM,1276210,1112,1524
72,RIG,1276057,441,624
73,UNH,1231807,1720,2234
74,NU,1179930,426,688
75,UBER,1166983,1002,1270
76,LCID,1127210,613,830
77,JD,1126978,594,804
78,FCX,1100665,718,912
79,AG,1089792,598,750
80,CCL,1062645,675,898
81,WFC,1036935,1009,1378
82,IGV,1036773,1227,1838
83,VZ,1036235,642,812
84,COIN,1008119,2470,3230
85,SMH,1007200,2723,3870
86,CIFR,992883,717,992
87,MRVL,964956,1068,1414
88,T,963670,519,696
89,OXY,961388,834,1016
90,PDD,957842,880,1208
91,HIMS,938164,1143,1320
92,WMT,925579,981,1276
93,SOXL,914939,1398,1958
94,XLP,909166,628,1096
95,ET,894371,300,574
96,BA,891361,1475,1960
97,PTON,883964,257,346
98,LAES,847753,343,486
99,CMCSA,847067,654,962
100,TTD,841242,755,1036
