candidate_id,variant,entry_mode,timeframe_min,timeframe_label,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.25,3.5,281411.6368944062,181.41163689440623,23.296617503283112,12.397117447220174,1.4829041308457755,1.2539248201035478,1560,717,45.96153846153846,783,777,1245,0.06976192916274586,19.412179487179486,194.12179487179486,60.26361857687159,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,2.0,1.25,3.5,150770.08929846933,50.77008929846934,8.66575794855744,16.722909560076694,0.6270996475217057,1.2539248201035478,1560,717,45.96153846153846,783,777,1245,0.06976192916274586,19.412179487179486,194.12179487179486,60.26361857687159,11816,7888
dominant_count_10m,active_dominant_count_session_reset,change_only,10,10m,0.0,1.5,3.5,260150.7798722211,160.15077987222108,21.351617355781862,10.6830174552068,1.442323607756936,1.245505714683246,1510,695,46.026490066225165,755,755,1245,0.06664253591622443,19.545695364238412,195.45695364238412,58.79929976315519,11816,7888
dominant_count_10m,active_dominant_count_session_reset,change_only,10,10m,2.0,1.5,3.5,142195.23070438916,42.195230704389154,7.385440680260391,15.756308936466146,0.5683247612302336,1.245505714683246,1510,695,46.026490066225165,755,755,1245,0.06664253591622443,19.545695364238412,195.45695364238412,58.79929976315519,11816,7888
dominant_count_10m,active_dominant_count_session_reset,hybrid_reentry_once,10,10m,0.0,1.5,3.5,260150.7798722211,160.15077987222108,21.351617355781862,10.6830174552068,1.442323607756936,1.245505714683246,1510,695,46.026490066225165,755,755,1245,0.06664253591622443,19.545695364238412,195.45695364238412,58.79929976315519,11816,7888
dominant_count_10m,active_dominant_count_session_reset,hybrid_reentry_once,10,10m,2.0,1.5,3.5,142195.23070438916,42.195230704389154,7.385440680260391,15.756308936466146,0.5683247612302336,1.245505714683246,1510,695,46.026490066225165,755,755,1245,0.06664253591622443,19.545695364238412,195.45695364238412,58.79929976315519,11816,7888
uncontested_15m,active_uncontested_session_reset,always_on_active,15,15m,0.0,0.5,4.5,240710.01807724847,140.7100180772485,19.458785788923883,9.667275935850817,1.5549316909990758,1.2726047421489104,1364,574,42.08211143695015,695,669,1245,0.06718549207146231,11.085043988269796,166.27565982404693,42.74637009576769,6455,4597
uncontested_15m,active_uncontested_session_reset,always_on_active,15,15m,2.0,0.5,4.5,139482.395650233,39.482395650232995,6.967567319383594,13.364377206639888,0.6191180533195407,1.2726047421489104,1364,574,42.08211143695015,695,669,1245,0.06718549207146231,11.085043988269796,166.27565982404693,42.74637009576769,6455,4597
uncontested_15m,active_uncontested_session_reset,change_only,15,15m,0.0,1.25,3.75,218034.76032228657,118.03476032228657,17.09028741034413,11.765165262734921,1.3386648924571625,1.242172987025421,1191,579,48.614609571788414,578,613,1245,0.06904574311452763,14.01679261125105,210.25188916876576,48.77973432190299,6455,4597
uncontested_15m,active_uncontested_session_reset,change_only,15,15m,2.0,1.25,3.75,135396.4111712758,35.39641117127581,6.325774839895315,14.510062728264428,0.553551981714073,1.242172987025421,1191,579,48.614609571788414,578,613,1245,0.06904574311452763,14.01679261125105,210.25188916876576,48.77973432190299,6455,4597
uncontested_15m,active_uncontested_session_reset,hybrid_reentry_once,15,15m,0.0,0.5,4.25,243931.77838219667,143.93177838219668,19.780701778633293,8.512294073301819,1.6062196711365744,1.2868996311435759,1328,564,42.46987951807229,674,654,1245,0.06992782914486631,11.079819277108435,166.1972891566265,41.60024714241582,6455,4597
uncontested_15m,active_uncontested_session_reset,hybrid_reentry_once,15,15m,2.0,0.5,4.25,143399.6463983002,43.399646398300185,7.568927945298243,13.696692505074104,0.6768721538591594,1.2868996311435759,1328,564,42.46987951807229,674,654,1245,0.06992782914486631,11.079819277108435,166.1972891566265,41.60024714241582,6455,4597
