variant,selector,persistence,timeframe_min,timeframe_label,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count,bullish_event_count,bearish_event_count,bar_count
active_dominant_count_carry,dominant_count,carry,60,60m,0.0,0.25,2.0,111238.99582239501,11.238995822395005,2.179288614751984,17.475834458530727,0.24607702979185253,1.0275491163389083,3027,937,30.954740667327385,2146,881,1245,0.004555045930400401,2.41195903534853,144.7175421209118,49.05335628227194,6482,2023,268,328,8715
active_dominant_count_carry,dominant_count,carry,60,60m,2.0,1.5,2.0,50568.782943181344,-49.43121705681865,-12.89101283225036,50.92312476937884,-0.9074468197123761,0.9809092173364288,1379,717,51.994198694706306,1010,369,1245,-0.006087242857535226,5.319071791153009,319.14430746918055,68.39931153184166,6482,2023,268,328,8715
active_dominant_count_session_reset,dominant_count,session_reset,10,10m,0.0,1.5,1.5,271665.9517595799,171.6659517595799,22.42015081986317,13.148714843656684,1.4532296744137105,1.2232139305423764,1703,804,47.21080446271286,847,856,1245,0.061592775524325245,17.815619495008807,178.15619495008806,60.13180928843579,11816,7888,1442,1702,48555
active_dominant_count_session_reset,dominant_count,session_reset,10,10m,2.0,1.5,3.0,144175.88673750823,44.17588673750823,7.686534264050615,17.525104094877786,0.5652604933256582,1.2425688527239966,1556,716,46.01542416452442,779,777,1245,0.06687285709667601,19.517352185089976,195.17352185089976,60.502522912161474,11816,7888,1442,1702,48555
active_dominant_width_carry,dominant_width,carry,60,60m,0.0,0.25,3.0,110576.0859035129,10.576085903512888,2.0557433476196207,17.679745489932543,0.2317937051768143,1.0264392630942893,3047,937,30.751558910403677,2360,687,1245,0.004389991786967195,2.427633738103052,145.65802428618312,49.925415949512335,7061,1570,268,328,8715
active_dominant_width_carry,dominant_width,carry,60,60m,2.0,1.5,2.0,56193.794535343855,-43.806205464656145,-11.011371946698056,45.4640653257388,-0.7352935802429792,1.0067931041222684,1398,730,52.21745350500715,1106,292,1245,0.002145698312259237,5.293276108726753,317.59656652360513,68.96156052782558,7061,1570,268,328,8715
active_dominant_width_session_reset,dominant_width,session_reset,10,10m,0.0,1.5,1.5,247270.61423260436,147.27061423260434,20.11075728640861,17.011717075768374,1.3080780219938708,1.198945553679323,1768,825,46.66289592760181,878,890,1245,0.05401447856498876,17.16289592760181,171.6289592760181,60.135928328699414,12192,8219,1442,1702,48555
active_dominant_width_session_reset,dominant_width,session_reset,10,10m,2.0,1.5,3.0,127049.38781142031,27.0493878114203,4.965130892019132,23.70061216044449,0.39258503534633743,1.2135556375093375,1622,735,45.31442663378545,811,811,1245,0.05799699714424782,18.72564734895191,187.2564734895191,60.50664195242509,12192,8219,1442,1702,48555
active_latest_carry,latest,carry,10,10m,0.0,0.25,3.0,230624.09924567523,130.6240992456752,18.428275843029972,14.136477433769867,1.1446841593075503,1.1031427975781618,5689,1755,30.849006855334853,3491,2198,1245,0.01585270729995159,8.27597117243804,82.7597117243804,87.9147358665431,34242,14063,1442,1702,48555
active_latest_carry,latest,carry,30,30m,2.0,1.5,3.0,71641.6783722291,-28.3583216277709,-6.527436781392737,39.20800076149936,-0.3647887942867123,1.0938945880756181,1957,956,48.85028104241185,1289,668,1245,0.02594415082724627,7.597853857945836,227.93561573837508,83.64535063330244,11815,4285,480,609,16185
active_latest_session_reset,latest,session_reset,10,10m,0.0,1.5,1.5,276806.10850839794,176.80610850839793,22.88549338389172,12.272732285157984,1.4996863537334002,1.2090421096539385,2128,973,45.723684210526315,1065,1063,1245,0.050215571171575935,14.259868421052632,142.59868421052633,60.14416640922665,12284,8128,1442,1702,48555
active_latest_session_reset,latest,session_reset,10,10m,2.0,1.5,3.0,122053.68116305672,22.053681163056726,4.1163016075836945,18.117228431746447,0.3446787719538766,1.2189289315048195,1984,889,44.80846774193548,996,988,1245,0.05275103028879918,15.309475806451612,153.09475806451613,60.5107609926887,12284,8128,1442,1702,48555
active_nearest_mid_carry,nearest_mid,carry,2,2m,0.0,0.25,3.0,198684.55124054573,98.68455124054574,14.908270391610824,16.854058889881163,0.8996941000172426,1.034602921481883,27880,14180,50.86083213773315,15112,12768,1245,0.0027177195263130127,8.653694404591105,17.30738880918221,96.37194933580476,168846,73367,7689,8549,242775
active_nearest_mid_carry,nearest_mid,carry,60,60m,2.0,1.5,2.0,71486.43606545862,-28.513563934541374,-6.568469973430235,37.191396184063784,-0.44191392370465493,1.0991822526423982,1913,1023,53.4762153685311,1296,617,1245,0.024913930974073524,3.868269733403032,232.0961840041819,69.37464142283419,6573,2058,268,328,8715
active_nearest_mid_session_reset,nearest_mid,session_reset,10,10m,0.0,0.25,4.0,244689.1371617199,144.6891371617199,19.8558838448337,11.154746242522762,1.491605485177001,1.2037194779551799,2928,965,32.95765027322404,1557,1371,1245,0.03192873581501928,7.979508196721311,79.79508196721311,43.21079188549068,12387,8025,1442,1702,48555
active_nearest_mid_session_reset,nearest_mid,session_reset,60,60m,2.0,1.5,3.0,118075.07920024944,18.075079200249444,3.420235982285269,13.82048731390798,0.5175092834576047,1.322682396341003,469,264,56.28997867803838,223,246,1245,0.07832671439106553,3.76545842217484,225.92750533049042,15.157773952954676,973,761,268,328,8715
active_uncontested_carry,uncontested,carry,3,3m,0.0,0.5,0.25,108998.28202458208,8.998282024582082,1.7592970943478559,7.021288561867623,0.36023679826147786,1.052468150142175,1278,813,63.6150234741784,1057,221,1245,0.0072411955894290175,28.65414710485133,85.96244131455398,21.836268149521164,34425,960,5077,5764,161850
active_uncontested_carry,uncontested,carry,3,3m,2.0,1.5,2.0,90358.82019575151,-9.64117980424849,-2.03114883841351,17.369160631010338,-0.3207321229999901,1.0507747994582493,352,186,52.84090909090909,326,26,1245,0.01378161983805852,117.3125,351.9375,25.296261970960764,34425,960,5077,5764,161850
active_uncontested_session_reset,uncontested,session_reset,10,10m,0.0,1.5,1.5,244774.9775880014,144.7749775880014,19.86439340226591,15.487124785586392,1.3032325535337517,1.1996160573814323,1682,793,47.14625445897741,838,844,1245,0.05617159563270747,18.008917954815697,180.08917954815698,60.030892801977146,11693,7654,1442,1702,48555
active_uncontested_session_reset,uncontested,session_reset,15,15m,2.0,0.5,3.0,137466.88794391238,37.466887943912376,6.652889885678204,13.939105352633163,0.5957343866123875,1.2629733498198483,1394,580,41.60688665710187,702,692,1245,0.06560391161285847,10.835007173601149,162.52510760401722,42.60426320667284,6455,4597,984,1195,32370
event_baseline,event,na,10,10m,0.0,0.25,4.0,285875.3869820409,185.87538698204088,23.689995643124572,11.345880686349208,1.8427307012130862,1.312006941369426,2104,646,30.70342205323194,1020,1084,1245,0.051596007975363074,9.566539923954373,95.66539923954373,37.59654000617856,1442,1702,1442,1702,48555
event_baseline,event,na,10,10m,2.0,0.25,4.0,123207.73519409096,23.20773519409096,4.3148167924450975,18.269524787222092,0.4090180404284039,1.312006941369426,2104,646,30.70342205323194,1020,1084,1245,0.051596007975363074,9.566539923954373,95.66539923954373,37.59654000617856,1442,1702,1442,1702,48555
