variant,selector,persistence,timeframe_min,timeframe_label,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count,bullish_event_count,bearish_event_count,bar_count
event_baseline,event,na,10,10m,0.0,0.25,4.0,285875.3869820409,185.87538698204088,23.689995643124572,11.345880686349208,1.8427307012130862,1.312006941369426,2104,646,30.70342205323194,1020,1084,1245,0.051596007975363074,9.566539923954373,95.66539923954373,37.59654000617856,1442,1702,1442,1702,48555
active_latest_session_reset,latest,session_reset,10,10m,0.0,1.5,1.5,276806.10850839794,176.80610850839793,22.88549338389172,12.272732285157984,1.4996863537334002,1.2090421096539385,2128,973,45.723684210526315,1065,1063,1245,0.050215571171575935,14.259868421052632,142.59868421052633,60.14416640922665,12284,8128,1442,1702,48555
event_baseline,event,na,10,10m,0.0,0.25,3.0,275230.07045961777,175.2300704596178,22.743551293452448,10.987071233199119,1.8252757408403573,1.2999007588265097,2110,649,30.75829383886256,1022,1088,1245,0.049559605184701025,9.524644549763034,95.24644549763033,37.516218721037994,1442,1702,1442,1702,48555
active_latest_session_reset,latest,session_reset,10,10m,0.0,2.0,0.75,274533.2612762959,174.5332612762959,22.680588094495757,11.655847538178964,1.5071638984347353,1.1765884470800283,2639,1311,49.677908298597956,1301,1338,1245,0.04000058652899535,11.342553997726412,113.42553997726412,58.25558644835753,12284,8128,1442,1702,48555
active_latest_session_reset,latest,session_reset,10,10m,0.0,2.0,1.5,274358.5866284423,174.35858662844228,22.664784634894875,12.151109493732438,1.4757512236744723,1.207417023949115,2126,972,45.719661335841955,1063,1063,1245,0.04986200769010524,14.282220131702728,142.82220131702726,60.22448769436721,12284,8128,1442,1702,48555
active_latest_session_reset,latest,session_reset,10,10m,0.0,1.5,2.0,271863.2342484668,171.86323424846682,22.438140013233586,12.016284874301231,1.445095838441712,1.2131461850968164,2043,923,45.1786588350465,1024,1019,1245,0.05149933945283863,14.863436123348018,148.63436123348018,60.37071362372567,12284,8128,1442,1702,48555
active_dominant_count_session_reset,dominant_count,session_reset,10,10m,0.0,1.5,1.5,271665.9517595799,171.6659517595799,22.42015081986317,13.148714843656684,1.4532296744137105,1.2232139305423764,1703,804,47.21080446271286,847,856,1245,0.061592775524325245,17.815619495008807,178.15619495008806,60.13180928843579,11816,7888,1442,1702,48555
active_latest_session_reset,latest,session_reset,10,10m,0.0,0.25,4.0,271485.76226744184,171.48576226744186,22.403711143792737,10.729872946281205,1.6773993225869983,1.237694585226629,2751,852,30.970556161395855,1457,1294,1245,0.03777612612430764,8.503089785532534,85.03089785532535,43.4599938214396,12284,8128,1442,1702,48555
active_latest_session_reset,latest,session_reset,10,10m,0.0,1.5,3.0,269923.9703569456,169.9239703569456,22.26085447105397,12.121132538826917,1.436633897441072,1.2189289315048195,1984,889,44.80846774193548,996,988,1245,0.05275103028879918,15.309475806451612,153.09475806451613,60.5107609926887,12284,8128,1442,1702,48555
active_latest_session_reset,latest,session_reset,10,10m,0.0,0.25,3.0,269423.0548431001,169.42305484310006,22.214896241269134,10.64781637392639,1.680564257593871,1.2333660025212636,2772,856,30.88023088023088,1464,1308,1245,0.03718447828839281,8.43867243867244,84.3867243867244,43.40850581814437,12284,8128,1442,1702,48555
