entry_time,exit_time,mode,side,entry_price,exit_price,gross_price_return_pct,net_trade_return_pct,bars_held,entry_reason,exit_reason,cost_bps_per_side,equity_after_trade
2021-03-10 11:00:00-05:00,2021-03-10 15:30:00-05:00,active,short,312.42,310.92,0.4801229114653351,0.43993488150566584,10,bearish_fvg_active,session_close,2.0,100439.93488150566
2021-03-16 10:00:00-04:00,2021-03-16 15:00:00-04:00,active,long,322.66,320.24,-0.7500154961879426,-0.7897115199900884,10,bullish_fvg_active,reverse_open,2.0,99646.74914507587
2021-03-16 15:00:00-04:00,2021-03-16 15:30:00-04:00,active,short,320.24,320.95,-0.22170871846114776,-0.26161604384209447,1,bearish_fvg_active,reverse_open,2.0,99386.05726214526
2021-03-16 15:30:00-04:00,2021-03-16 15:30:00-04:00,active,long,320.95,320.62,-0.10281975385573583,-0.14277463006698854,1,bullish_fvg_active,session_close,2.0,99244.15918655107
2021-03-17 15:00:00-04:00,2021-03-17 15:30:00-04:00,active,long,322.991,321.95,-0.3223000021672421,-0.3621670950583633,2,bullish_fvg_active,session_close,2.0,98884.72949821004
2021-03-18 15:00:00-04:00,2021-03-18 15:30:00-04:00,active,short,313.61,312.01,0.5101878128886269,0.4699877581709977,2,bearish_fvg_active,session_close,2.0,99349.47562155213
2021-03-19 10:00:00-04:00,2021-03-19 15:30:00-04:00,active,short,311.91,313.42,-0.4841140072456769,-0.5239163810073277,12,bearish_fvg_active,session_close,2.0,98828.96744432594
2021-03-22 10:30:00-04:00,2021-03-22 15:30:00-04:00,active,long,317.39,318.64,0.39383723494754086,0.3536837158070627,11,bullish_fvg_active,session_close,2.0,99178.50940867678
2021-03-23 10:00:00-04:00,2021-03-23 15:30:00-04:00,active,long,318.81,317.15,-0.520686302186263,-0.5604740484928428,11,bullish_fvg_active,reverse_open,2.0,98622.63960175912
2021-03-23 15:30:00-04:00,2021-03-23 15:30:00-04:00,active,short,317.15,317.02,0.04099006779126453,0.0009776734037458823,1,bearish_fvg_active,session_close,2.0,98623.60380907658
2021-03-24 10:00:00-04:00,2021-03-24 12:30:00-04:00,active,long,315.835,316.41,0.18205708677000507,0.14198827121758573,5,bullish_fvg_active,reverse_open,2.0,98763.63775913758
2021-03-24 12:30:00-04:00,2021-03-24 15:30:00-04:00,active,short,316.41,311.76,1.469612212003424,1.4290284259031338,7,bearish_fvg_active,session_close,2.0,100174.99821717165
2021-03-25 10:00:00-04:00,2021-03-25 13:00:00-04:00,active,short,311.72,310.83,0.2855126395483264,0.2454024459130011,6,bearish_fvg_active,reverse_open,2.0,100420.8301129899
2021-03-25 13:00:00-04:00,2021-03-25 13:30:00-04:00,active,long,310.83,310.47,-0.11581893639608686,-0.15576861345427684,1,bullish_fvg_active,reverse_open,2.0,100264.40597830362
2021-03-25 13:30:00-04:00,2021-03-25 15:30:00-04:00,active,short,310.47,311.37,-0.28988308049086137,-0.329763138853989,4,bearish_fvg_active,reverse_open,2.0,99933.77092599626
2021-03-25 15:30:00-04:00,2021-03-25 15:30:00-04:00,active,long,311.37,311.32,-0.016058065966538644,-0.056047643382473034,1,bullish_fvg_active,session_close,2.0,99877.760402449
2021-03-26 10:00:00-04:00,2021-03-26 15:30:00-04:00,active,long,312.24,316.01,1.2074045605944086,1.1669256470663525,12,bullish_fvg_active,session_close,2.0,101043.25960430065
2021-03-29 10:00:00-04:00,2021-03-29 15:30:00-04:00,active,long,313.39,315.87,0.7913462458917062,0.7510337390472133,12,bullish_fvg_active,session_close,2.0,101802.128574962
2021-03-30 10:00:00-04:00,2021-03-30 15:30:00-04:00,active,long,312.87,314.4,0.489020999137013,0.44882941029820156,12,bullish_fvg_active,session_close,2.0,102259.04646831602
2021-03-31 10:00:00-04:00,2021-03-31 15:30:00-04:00,active,long,318.19,318.95,0.23885100097425782,0.19875947012790718,12,bullish_fvg_active,session_close,2.0,102462.2960072343
2021-04-01 10:00:00-04:00,2021-04-01 15:30:00-04:00,active,long,324.03,324.55,0.16047896799680236,0.12041878282877949,12,bullish_fvg_active,session_close,2.0,102585.67985694463
2021-04-05 10:00:00-04:00,2021-04-05 15:30:00-04:00,active,long,328.54,331.08,0.7731174286235963,0.732812212576861,12,bullish_fvg_active,session_close,2.0,103337.4402472913
2021-04-06 10:00:00-04:00,2021-04-06 15:30:00-04:00,active,long,331.44,330.78,-0.19913106444606113,-0.23904741998550527,12,bullish_fvg_active,session_close,2.0,103090.4147625011
2021-04-07 10:00:00-04:00,2021-04-07 15:30:00-04:00,active,long,330.93,331.62,0.20850330885685725,0.16842391587346128,12,bullish_fvg_active,session_close,2.0,103264.04367593428
