timeframe_minutes,family,domcycle,leveling,entry_buffer,exit_ratio,side,entry_time,exit_time,entry_price,exit_price,holding_bars,trade_return_pct,pnl_dollars_on_25k
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-09 12:09:00-05:00,2021-03-09 12:50:00-05:00,311.54,311.56,41,-0.04641972138408775,-11.604930346021938
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-09 13:05:00-05:00,2021-03-09 14:12:00-05:00,312.5301,313.05,67,-0.20635197697758564,-51.58799424439641
1,mean_reversion,40,5.0,4.0,1.0,long,2021-03-09 14:17:00-05:00,2021-03-09 15:11:00-05:00,312.79,313.688,54,0.24709357716039107,61.77339429009776
1,mean_reversion,40,5.0,4.0,1.0,long,2021-03-09 15:52:00-05:00,2021-03-09 15:59:00-05:00,311.63,311.79,7,0.011342938741472108,2.835734685368027
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-10 09:33:00-05:00,2021-03-10 10:28:00-05:00,315.67,312.43,55,0.9863883169132405,246.59707922831012
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-10 11:56:00-05:00,2021-03-10 12:27:00-05:00,313.32,311.84,31,0.4323605259798313,108.09013149495783
1,mean_reversion,40,5.0,4.0,1.0,long,2021-03-10 12:39:00-05:00,2021-03-10 14:12:00-05:00,310.86,311.8182,93,0.2682416521906994,67.06041304767486
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-10 14:14:00-05:00,2021-03-10 15:24:00-05:00,311.94,311.82,70,-0.0015310636660869844,-0.38276591652174613
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-11 09:32:00-05:00,2021-03-11 11:55:00-05:00,315.86,318.5901,143,-0.9043386310390743,-226.0846577597686
1,mean_reversion,40,5.0,4.0,1.0,long,2021-03-11 12:00:00-05:00,2021-03-11 13:05:00-05:00,318.39,319.63,65,0.34945946794812777,87.36486698703195
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-11 13:06:00-05:00,2021-03-11 13:27:00-05:00,319.69,319.01,21,0.17270605899464944,43.17651474866236
1,mean_reversion,40,5.0,4.0,1.0,long,2021-03-11 15:00:00-05:00,2021-03-11 15:23:00-05:00,318.4,318.81,23,0.08876884422110547,22.192211055276367
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-12 11:26:00-05:00,2021-03-12 12:43:00-05:00,313.02,314.12,77,-0.39141524503228275,-97.85381125807068
1,mean_reversion,40,5.0,4.0,1.0,long,2021-03-12 12:43:00-05:00,2021-03-12 14:45:00-05:00,314.12,314.7495,122,0.160401120590854,40.100280147713505
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-12 14:47:00-05:00,2021-03-12 15:10:00-05:00,314.88,314.156,23,0.1899288617886197,47.48221544715493
1,mean_reversion,40,5.0,4.0,1.0,long,2021-03-15 09:42:00-04:00,2021-03-15 12:33:00-04:00,314.62,316.19,171,0.45901468438116044,114.75367109529012
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-15 12:35:00-04:00,2021-03-15 13:12:00-04:00,316.0801,315.8,37,0.04861677783574828,12.15419445893707
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-15 13:45:00-04:00,2021-03-15 15:05:00-04:00,316.47,317.51,80,-0.3686251461433798,-92.15628653584496
1,mean_reversion,40,5.0,4.0,1.0,long,2021-03-15 15:06:00-04:00,2021-03-15 15:53:00-04:00,317.45,318.16,47,0.1836572688612437,45.91431721531093
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-15 15:55:00-04:00,2021-03-15 15:59:00-04:00,318.61,318.88,4,-0.12474310285300212,-31.185775713250532
1,mean_reversion,40,5.0,4.0,1.0,long,2021-03-16 10:45:00-04:00,2021-03-16 12:58:00-04:00,323.43,322.4,133,-0.35846149089448387,-89.61537272362096
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-16 13:04:00-04:00,2021-03-16 14:26:00-04:00,322.84,320.1,82,0.8087176310246426,202.17940775616063
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-16 14:56:00-04:00,2021-03-16 15:59:00-04:00,320.3,320.62,63,-0.13990633780829762,-34.9765844520744
1,mean_reversion,40,5.0,4.0,1.0,long,2021-03-17 09:32:00-04:00,2021-03-17 12:12:00-04:00,317.09,316.96,160,-0.08099782396165263,-20.249455990413157
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-17 12:17:00-04:00,2021-03-17 13:54:00-04:00,317.13,316.81,97,0.06090499164380207,15.226247910950518
1,mean_reversion,40,5.0,4.0,1.0,short,2021-03-17 14:01:00-04:00,2021-03-17 15:21:00-04:00,318.64,322.32,80,-1.1949083605322697,-298.7270901330674
1,mean_reversion,40,5.0,4.0,1.0,long,2021-03-17 15:39:00-04:00,2021-03-17 15:59:00-04:00,322.0,321.95,20,-0.055527950310567634,-13.88198757764191
1,mean_reversion,40,5.0,4.0,1.0,long,2021-03-18 09:31:00-04:00,2021-03-18 10:26:00-04:00,317.11,316.37,55,-0.2733575100122998,-68.33937750307494
